,0.4,0.3,0.25,0.2,0.1,0.05
0,-166.8467907230901,-138.18999829275054,-201.17859552412673,-347.6385337223653,-217.48570564101084,-168.65027180406497
1,-164.00201361557708,-137.02836994775254,-198.28741853934463,-344.3511445007586,-219.34372116520726,-168.35273408812975
2,-164.09114741153604,-133.11334996478007,-199.41020624448277,-342.0650294685365,-223.4497015338388,-166.26767066645357
3,-160.08461736472344,-132.1914753798632,-193.8975064254025,-363.2117754248331,-227.75878072296305,-165.3876174576423
4,-158.69190954714702,-132.74299212424322,-192.23147523408178,-397.9918009588875,-232.95943716242851,-161.0217177068416
5,-159.58827491501697,-132.95802030930633,-191.36566089097283,-429.14287343990645,-237.1856139940992,-157.23936190519507
6,-158.53333397835542,-132.0621314882267,-189.75390992937605,-431.3221700774139,-240.5691846911918,-154.97779838359028
7,-154.63434223805297,-130.87187915487945,-189.25125875520854,-434.8060511355933,-238.80089503367827,-152.7246303902275
8,-151.5184778951688,-130.80649228192792,-187.08307586981704,-436.6616178305726,-236.6374598268215,-152.34764403460187
9,-148.90233438660195,-130.77706826933093,-185.00697549577234,-456.8177880204151,-241.0449272800197,-153.07367561174308
10,-146.92155783534537,-131.13297171901192,-183.50788925267472,-472.43462405107476,-240.86644563497273,-153.00303061461543
11,-142.27799039808298,-131.98138835499506,-181.5451537817961,-486.9909386997481,-240.09212763289798,-152.72149468176397
12,-138.88192364646804,-131.99215847142148,-176.9539405275432,-501.99910726014934,-243.35924420228946,-149.97958187865174
13,-134.93288583611428,-131.00463408528495,-174.08903521601067,-502.43252687382994,-250.11311416825163,-149.41025126018988
14,-132.8281878763483,-130.87891217831918,-171.60301797558947,-508.4285339753442,-256.6025357881419,-149.24100971445574
15,-126.13033595309277,-131.17074539245309,-171.08273740187374,-514.887244161176,-261.13343671515423,-148.24183745136793
16,-124.14365313659233,-128.99639084288097,-166.93395664902357,-535.4026054446588,-265.5269208983802,-147.13789944662352
17,-124.56521667784793,-129.8293004206162,-163.2242649527626,-543.6741693840065,-266.9551085074508,-147.1652317360193
18,-124.67214123151213,-130.3340584209592,-162.44432421556326,-547.8010901174102,-270.4456621762513,-148.2490890965664
19,-124.29005439404318,-130.49002118282527,-159.47375492537054,-549.3587589178885,-272.512722652795,-148.45103699093872
20,-123.25460949197397,-129.0815796113696,-153.17863626193082,-551.3494696947405,-271.410713585577,-147.49672095124745
21,-124.43308845991609,-128.43147945032385,-151.34566186646884,-549.3000459143725,-271.0843595488873,-146.95781166146514
22,-125.57370106154472,-126.94265609392423,-148.40006230897313,-542.3990878560826,-269.1018670374813,-147.0868181048112
23,-124.431364430845,-124.72890521149219,-140.01652842619774,-542.348754530798,-270.93557874229134,-147.6891124345233
24,-123.50428299339984,-122.30084943715408,-134.41745530367,-536.7438310105983,-273.5306027923682,-148.88063563117413
25,-124.06046134909491,-123.21473399481896,-131.3843636758575,-535.1959832645097,-272.64674021410974,-147.66563396328766
26,-124.53310717402647,-122.74659447014636,-130.53997736835746,-529.2090557918207,-271.938131531868,-147.88231510530449
27,-124.55420523161246,-123.01524207195818,-129.14880049136414,-523.9643349031296,-269.87731389348625,-148.2648969561997
28,-124.20049859668961,-123.59885454845393,-125.95903684237386,-521.5969954398817,-270.3238279335413,-150.0223521286729
29,-124.73220120309473,-123.95526406550165,-120.44113375506343,-512.0196763243929,-270.0637644874092,-149.0259420744325
30,-125.01916810653579,-122.69903278490459,-118.48953653821756,-503.5795353483756,-268.88059985279403,-149.8036595623213
31,-123.7866822157695,-122.89636773270986,-115.90232883713794,-501.96557359131214,-266.82785407705956,-149.33822784375457
32,-124.52260191366318,-124.34185602279747,-114.74237621169218,-499.2346633214903,-264.2865945574965,-148.31341470063865
33,-124.83177751674434,-125.1458715010117,-112.59992072323739,-496.5296880526282,-262.85688980812813,-148.78308622197466
34,-125.01405496243892,-125.18919904518042,-109.74933218272012,-490.4942384900496,-261.1136240397262,-150.2737192012255
35,-125.86438825997433,-126.78761858019689,-109.31869086803162,-486.2512205223408,-260.5788053448796,-151.3699211909092
36,-124.48595904163268,-127.51903272185312,-110.35741313043502,-482.8689963613899,-262.8434427734793,-148.12511894336575
37,-124.83360698194342,-128.40816607709874,-106.58717343079915,-479.3031723147797,-262.933834567428,-144.91802750856158
38,-125.35518944912954,-126.96019817391189,-106.02101150726297,-473.59871847777896,-262.5555606097082,-143.5150121736547
39,-127.24144810730655,-127.48753681890099,-103.43172304463951,-470.1877979299537,-262.20875382715496,-142.17665723549717
