,0.99,0.97,0.95,0.9,0.8,0.5
0,-176.78862253770313,-205.59292264389245,-286.77602151642776,-198.5622852759936,-666.4916494278808,-166.46991218399668
1,-178.58607363284992,-203.42900101137863,-287.58965428105637,-199.09636812832542,-670.6574914808265,-162.46944093900234
2,-173.93967442798154,-203.54196259034367,-283.72762247600446,-199.89279465697183,-671.5920969202693,-160.72210958862607
3,-174.45891164609333,-201.00750519217308,-282.33247621748217,-199.69997616841437,-674.5801769107213,-155.17825170276635
4,-173.22676846250553,-199.4156536447928,-284.7035471591171,-197.78190701436313,-675.1679363862849,-153.08207903092838
5,-173.5994077081667,-200.44169749178346,-287.157173237878,-197.78029058432708,-680.6387523613853,-150.173455494207
6,-173.12835388069686,-201.36838981594417,-290.52566444928846,-195.33208682199538,-658.6813640986676,-148.9816454138602
7,-172.3790206695638,-201.84541717278574,-293.00809448511603,-191.2245724578926,-656.1096660218145,-149.99204772916858
8,-172.8918067316591,-202.0061500596974,-291.55141890151225,-190.30849020727626,-657.028752767119,-148.0485270201685
9,-169.66055896608214,-200.11092367569145,-292.0199298637744,-190.877379292103,-659.666568752435,-140.78035482140834
10,-166.96778280696861,-200.61727752178507,-289.1887299023065,-190.317698407751,-649.1544612687408,-137.3851163684598
11,-165.46244942841102,-201.5056632352713,-290.76831906554685,-189.8607289412404,-648.9595457318231,-137.31404531284215
12,-164.35903905136448,-204.47784443152185,-288.0860902856719,-186.30036445874705,-650.1327463596459,-135.2279315746591
13,-164.4379976279253,-205.3253030988874,-289.5009101844327,-181.8226897220175,-652.6887784004002,-129.9689112890553
14,-164.95328970464422,-205.9627741324574,-291.03329024292344,-177.00178716172272,-651.4088152001227,-125.62048440848699
15,-164.54024233766137,-207.53473536514687,-291.70507182892874,-176.0040608989837,-638.8181862918748,-122.82431478159137
16,-165.47540509487308,-210.2251358982279,-293.4786251690072,-171.8781920547573,-639.8060716721675,-124.15339971598385
17,-163.38754122144218,-209.95319074019218,-293.0767495196649,-170.4126193371489,-638.9559162304244,-119.94882298742763
18,-157.7588290730789,-206.43162609598204,-291.99170202359585,-169.35092329487182,-640.3220558798643,-115.54710184570422
19,-155.47458497245037,-202.51675219091467,-294.33095033418647,-168.6409486644662,-642.162112203162,-113.08097319808876
20,-155.4183135409031,-203.95543176109507,-292.6038296430464,-165.53246069178385,-640.0336501826075,-109.50629192298089
21,-155.13981813991032,-204.0503579425854,-291.98812904134246,-161.57543267417248,-642.5315110950664,-108.44567999057361
22,-155.56368632335398,-203.54439664779886,-290.2300087169745,-158.65830222720274,-640.984564302853,-106.20494111343338
23,-156.36563261534636,-202.74902294184628,-284.3843646986927,-155.64401669550992,-642.6064631529003,-105.04158439182065
24,-156.2798736414481,-200.58327093360953,-283.45106198276903,-155.0232790768651,-641.5126897249589,-102.46617384671423
25,-155.89468999411193,-201.1695531628609,-279.6951950158712,-153.20613960611388,-634.9717024511905,-100.9488533085136
