,0.0001,0.001,0.01,0.1,1.0,10.0
0,-228.13554976683267,-136.55984815322626,-450.7089223275632,-789.3835181862253,-560.6477983633434,-398.5774406927545
1,-226.5976511552219,-136.7587482137669,-453.1984501224807,-792.8671059720317,-564.7193363684655,-398.8074699301227
2,-226.18696659384528,-134.80830346387648,-453.6771829235266,-798.8745783621806,-566.5308158900242,-396.6624088660701
3,-223.73140960412036,-134.48102265104063,-454.4991500343773,-798.2228445382159,-570.6416115101102,-396.6067823590846
4,-223.16574535149593,-132.10062085763576,-459.2320157316005,-797.8227705455595,-573.1059602386665,-398.37919423330015
5,-222.71986371514674,-132.20607301447706,-459.79651682872134,-790.8887873857188,-581.1881338533266,-396.64569099171314
6,-220.98108199219712,-131.93164957030046,-456.0222647115055,-790.8064415244643,-593.3874701584663,-393.96094420718674
7,-219.10031589484763,-131.59563150745808,-454.2263814738003,-788.5205297919694,-598.9228741440643,-394.0135759772356
8,-214.93213958588257,-131.4609597784523,-455.45607759746184,-786.1955014602895,-603.1373291305968,-391.1855317573871
9,-213.68724196252458,-131.32045401346937,-453.0664001032902,-786.0687850328171,-609.9921504642059,-389.81871239409355
10,-209.7846662541306,-131.77010809485373,-448.8202041095547,-785.152167665838,-611.8409053763287,-391.4152233818622
11,-207.08698084823132,-132.16597399954716,-447.79905833537384,-771.5933761017835,-616.846364547867,-396.21536324055853
12,-202.68385262134572,-130.07267588874592,-448.1919860171882,-781.1580676406988,-623.2503733988284,-399.0385248298654
13,-198.64418158601092,-128.55070355280768,-447.9423264390809,-780.8056843090628,-628.7169675604827,-402.4512472244689
14,-198.90480256586895,-128.5341746433446,-447.1549764114689,-782.6658201368988,-634.4064399377716,-402.627736574701
15,-196.11904009216437,-128.5250896473222,-446.83385395596366,-781.725303241174,-636.3629733041129,-402.894146856356
16,-193.78736416130306,-127.73685317398007,-445.80735674561237,-780.6525779202549,-641.5339239526907,-405.518624580155
17,-190.10493689485523,-127.94176909958165,-445.46107075164366,-780.1834496568594,-644.299857655978,-408.252934276732
18,-188.3785159815733,-128.03814821989212,-440.47587104481534,-782.2612823786917,-679.6621093857972,-406.68511598138866
19,-183.87029962591706,-128.23410064043034,-436.2636690407742,-781.4005578635092,-683.7822363567763,-408.60939354086537
20,-182.55348750164256,-128.78428687028534,-431.08961483903823,-779.6366223595641,-688.0034330397142,-409.47680676795784
21,-182.6986484275537,-128.55423939042754,-432.6744526771111,-780.6484628177575,-691.7299139978026,-407.1740122903625
22,-179.34877272560573,-128.8679662361195,-433.8951125459221,-780.0779735881184,-695.6903589250803,-407.8145205238766
23,-178.50845765637143,-130.73434165519743,-435.1838361125502,-783.0296109241542,-706.010300655193,-407.9483834159827
24,-178.16631712510926,-130.84779241377868,-431.45594427179117,-782.4275052202576,-706.1599086658905,-406.31425178863066
25,-176.26231404931215,-131.11364645847755,-428.349141043501,-788.7336279380762,-728.0542236567236,-409.0885075063925
26,-173.2694671561625,-131.7739839879808,-430.4745032198228,-786.9616507476519,-732.4772722998222,-408.5905275948898
