,All Rewards
0,-119.73511669967255
1,52.95298433737307
2,-500.11670249046745
3,-171.006069393372
4,-126.24623626238883
5,-204.2872606020587
6,-271.93052617362207
7,-153.98327882501127
8,-249.1657468366162
9,-294.1725777457897
10,-278.66336459229103
11,-91.8229627469618
12,-435.5026421967375
13,-167.58060968725198
14,-203.68188115382316
15,-138.63553274086215
16,-149.93662758456674
17,-16.982081244822183
18,-114.62073349462312
19,-249.60478704780772
20,-508.10646173474834
21,-313.3124869523649
22,-128.9071612883727
23,-135.590123937167
24,-159.43301385087676
25,-391.4402053537152
26,-173.04719504852548
27,-86.57648560477048
28,-194.5754912941897
29,-375.2519015256414
30,-302.6324930048414
31,-119.34234973574193
32,-7.157430735626676
33,-628.7625380882871
34,-518.9211500462052
35,-587.862696463277
36,-79.6564832688527
37,-103.94448260433212
38,-200.19179840606944
39,-116.3459500032967
40,-197.42150091022876
41,-20.90685667602395
42,-84.98611524466462
43,-161.86326739442455
44,-126.34818808150305
45,-567.567334162754
46,-381.27943123825804
47,-481.55387998235153
48,35.271667007465766
49,-477.2341900747596
50,5.760474502202328
51,-37.29880382374165
52,-17.067852641377044
53,-190.49130718490983
54,-355.5596912019365
55,-7.853360131966966
56,-3.058937266677063
57,-5.4841218284072255
58,-311.9598375498036
59,-483.1119487088617
60,-257.37878627774
61,-122.0393826102113
62,-215.13724501813425
63,-247.07580777576402
64,-429.473291361143
65,-402.2405123564728
66,-139.52749932200197
67,-398.47836223660477
68,-40.41049536629254
69,-131.2649826752675
70,-223.2904454845159
71,-17.535461110266098
72,-387.3383305978074
73,-383.5830870516984
74,-440.0968436934649
75,-467.0893512602932
76,-252.163977936291
77,-124.66693691265425
78,-280.22702593202064
79,-229.13301891023718
80,-164.42496095536788
81,-50.513372374490764
82,-190.70246922147112
83,-106.8143210579557
84,-406.7116757264283
85,-258.6661725378943
86,-321.55136736296635
87,-218.3929405750774
88,-138.55185613977437
89,-119.19762101123078
90,-230.33338928462786
91,-632.6802891331416
92,-80.81468208700963
93,-64.81798313695883
94,-168.07720270382205
95,-66.06882713734859
96,-127.62362446860504
97,-56.580414285933145
98,-205.32726705186275
99,13.750982102874787
100,-13.702399944552141
101,-41.99726821110556
102,-68.9797853021382
103,41.121461881931424
104,-259.02286156349766
105,-45.24814634152803
106,-36.776041101354615
107,10.118234890366253
108,-110.3318338924093
109,0.41683674394712966
110,-160.01144634336046
111,-211.40658629319262
112,-156.7844892220909
113,-117.90872669746193
114,43.47298725819479
115,-31.21355113225485
116,-20.8877555852048
117,-173.8921754531894
118,-56.585521023674985
119,-14.926347935747998
120,-18.24612196735528
121,-72.38987237351148
122,-115.81779202538955
123,-50.34006198105055
124,-28.569277585309706
125,-111.84229058167067
126,-144.32991830361843
127,-171.98680287381922
128,-127.63952524561118
129,-142.1749108343919
130,-179.26148190028312
131,-152.28039861023626
132,179.35234084276453
133,-100.38133790260132
134,-39.142430108068496
135,-142.4799153956045
136,-194.99130920957214
137,-137.43381910134931
138,-157.80751367719893
139,-192.4557388235998
140,-218.12345487569013
141,-96.36362795119226
142,-185.5998913787335
143,-137.96123308629976
144,-196.02804657502298
145,-293.08789607919584
146,-169.04387662333977
147,-118.88926272228923
148,140.28730113048846
149,-70.43413218887322
150,-17.34695544215225
151,-78.90147907886616
152,-141.59832098240642
153,-152.09059109050548
154,-303.60350730343566
155,-132.73248108829662
156,-37.05600955827755
157,-149.12862332456348
158,-210.86545965572628
159,-105.83855600505657
160,-96.96466257063143
161,-70.81346607285829
162,-75.21335595331756
163,-127.04436347547738
164,-102.95113343933646
165,-150.71146865437217
166,-235.7457573880313
167,-157.61453426427138
168,128.05397834500354
169,69.09518643827887
170,-92.21089090374711
171,-214.7273659195891
172,-212.72109446632612
173,-138.40487836088494
174,-116.9051839281862
175,-10.916406140698179
176,-257.25909481374606
177,-120.84156571861777
178,-109.49375996995795
179,-89.79606497282967
180,-137.76393659174556
181,42.513621069241864
182,-216.7527329094209
183,75.14778567406019
184,89.18702350880801
185,97.52327405865911
186,-23.79349548204884
187,96.49329688640495
188,83.96197922883202
189,90.63639254052386
190,-27.624148673634465
191,89.19492443056303
192,69.30772416355255
193,63.63628998400801
