,Mean Rewards
0,-216.68044432759226
1,-215.62011716004105
2,-216.56961968552582
3,-212.25825051364257
4,-210.1369752008895
5,-211.46474145390056
6,-209.87435031129527
7,-207.5228054605726
8,-205.88179032341884
9,-204.49345119397677
10,-201.54755704907942
11,-200.36103786659012
12,-201.55687410205243
13,-198.76969257230593
14,-198.27297374240803
15,-195.80142505828786
16,-194.7272052422018
17,-193.43671652220814
18,-195.00581746429188
19,-194.42546533958236
20,-192.07868094846177
21,-187.18007755078781
22,-184.7708514049993
23,-184.63995771236947
24,-183.7874570928083
25,-182.47881973015257
26,-179.6828405824322
27,-179.39566781498306
28,-180.24977098767357
29,-179.5804113271878
30,-177.24964142027528
31,-176.0159313092297
32,-176.3453117979747
33,-174.48021408219077
34,-169.1964020803339
35,-164.39861488095255
36,-159.94478707027582
37,-161.098135329683
38,-161.43302869465316
39,-161.00918584736448
40,-161.77028373556752
41,-161.9773032752221
42,-162.7318709879738
43,-163.7380087493145
44,-163.49898840623325
45,-164.19578699116846
46,-161.45099261033286
47,-159.32863706418365
48,-155.70199089158302
49,-154.6518345503528
50,-150.58383397149396
51,-150.81490827093748
52,-151.23093502348874
53,-152.47623970689904
54,-152.09223254595497
55,-151.57267070696997
56,-152.8214619165333
57,-153.16143263944926
58,-154.59787765441084
59,-153.58693387547007
60,-149.81419994843202
61,-148.21005871136092
62,-147.6977995459874
63,-146.29856065533926
64,-145.0982462123364
65,-141.83302463311833
66,-139.3177341960973
67,-140.27991677675763
68,-137.87127849703427
69,-136.18663375992134
70,-134.18303206878588
71,-132.87223652297814
72,-134.84415557107138
73,-133.0979832097566
74,-130.64620112284845
75,-127.41428452519567
76,-122.85255507399974
77,-122.9035062427743
78,-122.86525253083393
79,-121.1579198712133
80,-119.76455033183923
81,-119.49794008820301
82,-118.56767015376569
83,-118.82817279064523
84,-117.00855172332506
85,-112.0495647309727
86,-108.48767026500717
87,-105.51009154619798
88,-102.36122917158315
89,-100.13609081789707
90,-98.03775068237954
91,-96.01065827626958
92,-88.79190614063255
93,-87.29068207812692
94,-86.00613934691724
95,-84.64910394357474
96,-82.90792454285967
97,-80.98262365701116
98,-80.23030552375873
99,-77.41271385037366
100,-76.70163727226641
101,-76.00855089564416
102,-74.703251411893
103,-72.84485964984043
104,-73.7386974720489
105,-70.50890022312974
106,-69.21007201369017
107,-69.52094968488943
108,-68.71325500511675
109,-66.98313968247882
110,-65.93481601583476
111,-63.42791581527057
112,-61.21964512457509
113,-58.74939982604505
114,-57.978469969602095
115,-58.94765775552083
116,-57.697951560951736
117,-56.20822422366473
118,-54.02866104681757
119,-52.54346211710787
120,-52.20392321377883
121,-50.900136488611885
122,-49.531195610120704
123,-47.62635163819455
124,-46.43742037248466
125,-45.16438739462359
126,-43.04173461998663
127,-42.559707739193136
128,-39.687450438460694
129,-37.06502487914882
130,-35.88861913080366
131,-34.174264101174366
132,-31.8286800933092
133,-32.83522263741621
134,-30.932770653883896
135,-30.762300769311373
136,-28.563399084738492
137,-25.75325151710799
138,-23.78575955334081
139,-21.395128804890554
140,-19.554351834282883
141,-16.701524941331616
142,-14.723846293491187
143,-12.02468538890489
144,-9.83002665716471
145,-7.974191080974106
146,-5.661863724168949
147,-3.5437382256803387
148,-1.6570103288624782
149,-1.6855788939708765
150,-1.8038153098618892
151,-2.3951382866310293
152,-2.3878039078686317
153,-0.2949853423612015
154,1.9054781832389238
155,4.683246965241612
156,6.648914786677479
157,6.637499278757875
158,9.028941902454582
159,12.158358599311903
160,12.655082124792486
161,14.298963352827496
162,15.601389101768353
163,16.31467506015321
164,16.901770255657787
165,18.934072551530775
166,19.704971603907126
167,21.84774346076722
168,23.940147658331295
169,22.054298070845533
170,20.931013177657015
171,22.704895003697928
172,24.462231817627867
173,26.954517591575804
174,30.04410588954568
175,31.890756149601348
176,32.727176492908036
177,36.03790498315395
178,37.79619793349104
179,39.39291758035619
180,40.52932023265502
181,43.203146971992936
182,42.305543586844266
183,45.437248819754096
184,45.36444430618598
185,44.664426592879174
186,42.94837706613056
187,43.58945272314686
188,43.999365218955134
189,41.69937231318102
190,41.15417024544002
191,41.319074722467434
192,40.8869512683856
193,40.71116689728096
194,40.58735346443222
195,39.976587560020775
196,40.43755411650483
197,39.02521434230725
198,39.06098312567261
199,38.24995448417138
200,37.12529172769752
201,37.38343671227485
202,36.765229263973424
203,36.13235956210733
204,35.765454243976635
205,34.64819651646347
206,34.508368270516684
207,36.61490842567753
208,36.17268957978517
209,34.52496306362715
210,32.59782586010132
211,31.048298035890195
212,32.48290597213196
213,32.62831362342087
214,32.0935246130383
215,31.41347787072282
216,29.752991849575555
217,29.120042250486485
218,28.767614694764212
219,28.283371488555495
220,28.56783211354728
221,27.645468466069378
222,25.56662477261123
223,25.92997950234111
224,26.231225830166068
225,24.6036516850481
226,22.59620259421238
227,22.43824767601062
228,22.301412427677555
229,19.350885454146706
230,20.400448588873818
231,21.566669817777864
232,19.89209559076786
233,19.352445400075588
234,19.46452222521377
235,20.31396682528674
236,20.670218213492294
237,20.64178451875745
238,20.94998723480835
239,21.236838030329512
240,22.410590636831184
241,22.721872795099834
242,23.154660889458352
243,23.805676796439702
244,21.353743999834702
245,20.195228658582067
246,19.383560799660803
247,19.855441138624307
248,19.94338223686337
249,19.166178644679295
250,18.809868928163443
251,17.44829595924857
252,16.46719921314181
253,14.848215268950227
254,13.701120604407828
255,16.035693184809087
256,16.59184898664305
257,19.25804206979624
258,19.366466021826774
259,19.155673623901606
260,20.928345542054416
261,18.99602753412
262,16.75481282436354
263,16.23646726591861
264,18.6009043115635
265,19.048645238612668
266,21.347983832383008
267,23.41970609700278
268,24.392174398104093
269,25.944259014008367
270,27.053774378613443
271,25.930378040383474
272,26.951967244794183
273,28.664113238990197
274,27.151180727361357
275,26.63010833887975
276,26.25906193116371
277,26.028778371377214
278,25.99953404375276
279,25.835662751849938
280,26.44323055379786
281,27.10633029893928
282,28.384727927052825
283,27.71990312113134
284,28.044644285442633
285,29.259903300928883
286,31.82727200547647
287,32.40651067015096
288,32.22448079819398
289,34.08590235213282
290,35.44673082903634
291,34.97543306473518
292,36.0305835970827
293,34.85002103504707
294,36.08104269100144
295,38.49018120897908
296,36.471715979041875
297,37.24248757927417
298,38.35103126909624
299,40.11297840633492
300,41.91257875501814
301,40.098124381097065
302,41.785037043473636
303,40.64747978019407
304,42.45179460501296
305,41.812424366367274
306,40.6895079071898
307,41.10947631221225
308,39.26690064195916
309,41.72991192895463
310,41.35273415652021
311,40.67705295257582
312,39.10837562650327
313,38.928378498544106
314,40.91079696098084
315,43.56672329100663
316,43.19368587049778
317,43.926166008255706
318,44.948235398186696
319,46.299788710785805
320,45.59948430703325
321,46.033337416559746
322,48.33836233098885
323,48.343146463301466
324,48.283197796690494
325,50.037042238704544
326,52.08132525622289
327,51.55458070700686
328,51.484052966361396
329,53.83480702553567
330,54.72279261546086
331,53.17174962138532
332,54.138103615768586
333,55.31766124035064
334,54.536204770860714
335,54.727626009999454
336,52.77832918624903
337,52.4326502137066
338,50.56876931997156
339,49.89761197085065
340,47.96434586124919
341,47.536107234695194
342,47.614520513945656
343,46.56964036269765
344,49.172025943741176
345,51.68439686657627
346,54.32992547039683
347,55.43194702495384
348,53.34486897977951
349,54.6603208053406
350,54.95236371039184
351,57.771969352134526
352,60.55337698362748
353,61.99900015618801
354,61.8144256708342
355,60.536872448101285
356,58.91629590057148
357,56.94809080004389
358,55.467039292484294
359,53.56845606473523
360,54.23878635463387
361,57.18529584015527
362,58.46534482581063
363,59.669169130314934
364,59.249684729514684
365,56.98181301508093
366,54.31674097425578
367,51.52646181378412
368,49.17929659940816
369,49.912912772927115
370,48.64880962197617
371,50.21514769990605
372,50.14043910328031
373,48.883828105124934
374,47.162568574448166
375,48.80838861895804
376,47.266333457747386
377,45.56719268375
378,46.082226428204564
379,47.65626713824184
380,45.50172795851003
381,43.56728763912858
382,45.09578373758502
383,45.41321186132196
384,43.60998585564152
385,43.42490554213064
386,42.39826318807204
387,42.49455045591146
388,40.757334416434375
389,40.71957551676571
390,41.269481609106926
391,41.13043139513101
392,40.99245763685619
393,40.960223565629214
394,40.45821724606072
395,40.5519818610418
396,42.44538007856887
397,42.369442042027615
398,40.55858735701705
399,39.99996645284395
400,39.30383040942625
401,39.70188650213933
402,36.79786037481572
403,39.34051753702337
404,40.26261024920271
405,42.48581949368476
406,43.840285863573534
407,41.711297435804454
408,43.012603045914574
409,42.41255452390235
410,45.2178164738719
411,47.1194295970266
412,46.8645164272488
413,46.6472331856794
414,44.771585966621515
415,44.08775706264251
416,44.6196067311163
417,43.10190949126653
418,42.66883564132399
419,41.56112893526062
420,42.040847329885445
421,40.810681860224264
422,40.75081564993937
423,38.50193964731748
424,36.69221639858538
425,36.38379495426313
426,36.04349669980622
427,36.74402460324457
428,34.930578848106705
